Pollster,DateFrom,DateTo,DaysToElection,Rating,Sample,Kelly,McSally
OH Predictive Insights,2/12/2019,2/13/2019,,B/C,600,44,46
OH Predictive Insights,5/1/2019,5/2/2019,,B/C,600,44,45
OH Predictive Insights,8/13/2019,8/14/2019,,B/C,600,46,41
Fabrizio Ward LLC,7/29/2019,7/31/2019,,B/C,600,44,45
Bendixen & Amandi International,9/9/2019,9/12/2019,,B/C,520,42,42
Change Research,9/27/2019,9/28/2019,,C-,856,50,47
Emerson College,10/25/2019,10/28/2019,,A-,901,46,45
OH Predictive Insights,12/3/2019,12/4/2019,,B/C,628,47,44
Public Policy Polling,1/2/2020,1/4/2020,,B,760,46,42
HighGround Inc,2/7/2020,2/9/2020,,B/C,400,46,39
Public Policy Polling,3/2/2020,3/3/2020,,B,666,47,42
"Fabrizio, Lee & Associates",1/22/2020,1/24/2020,,B/C,1000,45,47
OH Predictive Insights,3/3/2020,3/4/2020,,B/C,600,49,42
Latino Decisions,3/6/2020,3/11/2020,,B/C,1036,48,36
Monmouth University,3/11/2020,3/14/2020,,A+,847,50,44
Marist College,3/10/2020,3/15/2020,,A+,2523,48,45
OH Predictive Insights,4/7/2020,4/8/2020,,B/C,600,51,42
OH Predictive Insights,5/9/2020,5/11/2020,,B/C,600,51,38
HighGround Inc,5/18/2020,5/22/2020,,B/C,400,51,41
Fox News,5/30/2020,6/2/2020,,A-,1002,50,37
Civiqs,6/13/2020,6/15/2020,,B/C,1368,51,42
Siena College/NYT Upshot,6/8/2020,6/16/2020,,A+,650,47,38
Redfield &Wilton Strategies,6/14/2020,6/17/2020,,NR,865,49,34
Gravis Marketing,6/27/2020,6/27/2020,,C,527,42,46
Change Research,6/26/2020,6/28/2020,,C-,311,53,44
Data Orbital,6/27/2020,6/29/2020,,A/B,600,50,43
Global Strategy Group,6/19/2020,6/24/2020,,B/C,800,49,42
Change Research,6/20/2020,6/23/2020,,C-,946,50,42
YouGov,7/7/2020,7/10/2020,,B,1087,46,42
OH Predictive Insights,7/6/2020,7/7/2020,,B/C,600,52,43
Change Research,7/10/2020,7/12/2020,,C-,345,52,45
Spry Strategies,7/11/2020,7/16/2020,,B/C,700,48,41
Public Policy Polling,7/21/2020,7/22/2020,,B,816,51,42
Marist College,7/14/2020,7/22/2020,,A+,826,53,41
CNN/SSRS,7/18/2020,7/24/2020,,B/C,873,50,43
Morning Consult,7/17/2020,7/26/2020,,B/C,908,52,36
Change Research,7/24/2020,7/26/2020,,C-,365,47,45
Redfield &Wilton Strategies,7/19/2020,7/23/2020,,NR,858,53,35
Data for Progress,7/24/2020,8/2/2020,,B-,1215,50,40
OH Predictive Insights,8/3/2020,8/4/2020,,B/C,603,48,43
Emerson College,8/8/2020,8/10/2020,,A-,661,52,41
Change Research,8/7/2020,8/9/2020,,C-,428,49,43
OnMessage Inc,8/2/2020,8/4/2020,,B/C,400,48,48
Redfield &Wilton Strategies,8/16/2020,8/18/2020,,NR,856,53,34
Fox News,8/29/2020,9/1/2020,,A-,772,56,39
Fox News,8/29/2020,9/1/2020,,A-,858,55,38
Redfield &Wilton Strategies,8/30/2020,9/4/2020,,NR,830,53,38
Change Research,9/4/2020,9/6/2020,,C-,470,51,45
Benenson Strategy Group/GS1 Strategy Group,8/28/2020,9/8/2020,,NR,1600,48,45
Gravis Marketing,9/10/2020,9/11/2020,,C,684,48,43
YouGov,9/9/2020,9/11/2020,,B,1102,49,42
OH Predictive Insights,9/8/2020,9/10/2020,,B/C,600,52,42
Kaiser Family Foundation,8/29/2020,9/13/2020,,NR,1298,44,36
Monmouth University,9/11/2020,9/15/2020,,A+,420,49,48
Monmouth University,9/11/2020,9/15/2020,,A+,420,50,46
Monmouth University,9/11/2020,9/15/2020,,A+,420,50,44
Siena College/NYT Upshot,9/10/2020,9/15/2020,,A+,635,50,42
Redfield &Wilton Strategies,9/12/2020,9/16/2020,,NR,855,52,35
Morning Consult,9/11/2020,9/20/2020,,B/C,907,49,40
"Fabrizio, Lee & Associates",9/14/2020,9/16/2020,,B/C,800,48,46
Change Research,9/18/2020,9/20/2020,,C-,262,51,43
ABC News/The Washington Post,9/15/2020,9/20/2020,,A+,579,49,48
ABC News/The Washington Post,9/15/2020,9/20/2020,,A+,701,50,45
Ipsos,9/11/2020,9/17/2020,,B-,565,50,41
Data for Progress,9/15/2020,9/22/2020,,B-,481,47,38
Hart Research Associates,9/17/2020,9/19/2020,,B/C,400,55,43
Susquehanna Polling & Research Inc.,9/25/2020,9/28/2020,,C,500,48,44
Data for Progress,9/23/2020,9/28/2020,,B-,808,51,42
Suffolk University,9/26/2020,9/30/2020,,A,500,49,40
Morning Consult,9/22/2020,10/1/2020,,B/C,1048,51,38
Siena College/NYT Upshot,10/1/2020,10/3/2020,,A+,655,50,39
Change Research,10/2/2020,10/4/2020,,C-,296,51,43
HighGround Inc,9/28/2020,10/5/2020,,B/C,400,50,44
Data Orbital,10/3/2020,10/5/2020,,A/B,550,49,44
Ipsos,9/29/2020,10/7/2020,,B-,633,51,41
Latino Decisions,9/28/2020,10/6/2020,,B/C,600,47,42
Trafalgar Group,10/6/2020,10/9/2020,,C-,1045,47,45
Morning Consult,10/2/2020,10/11/2020,,B/C,1144,49,41
Ipsos,10/7/2020,10/14/2020,,B-,667,52,41
Targoz Market Research,9/23/2020,10/2/2020,,C/D,1045,51,41
OH Predictive Insights,10/4/2020,10/8/2020,,B/C,608,50,45
Monmouth University,10/9/2020,10/13/2020,,A+,502,52,42
Monmouth University,10/9/2020,10/13/2020,,A+,502,52,42
Monmouth University,10/9/2020,10/13/2020,,A+,502,51,45
YouGov,10/13/2020,10/16/2020,,B,1065,52,41
Data Orbital,10/16/2020,10/18/2020,,A/B,550,48,42
Change Research,10/16/2020,10/19/2020,,C-,232,54,43
RMG Research,10/14/2020,10/19/2020,,B/C,800,46,39
Rasmussen Reports/Pulse Opinion Research,10/18/2020,10/19/2020,,C+,800,46,44
Ipsos,10/14/2020,10/21/2020,,B-,658,51,43
Morning Consult,10/11/2020,10/20/2020,,B/C,1066,48,44
Basswood Research,8/29/2020,8/31/2020,,B/C,800,48,48
Basswood Research,10/3/2020,10/5/2020,,B/C,800,47,49
Susquehanna Polling & Research Inc.,10/19/2020,10/22/2020,,C,500,47,50
